,CATAID,WHAN classification,BPT classification
0,14283,sAGN,composite
1,14295,SF,unclassified
2,14296,SF,SF
3,14300,unclassified,unclassified
4,14301,SF,SF
5,14302,sAGN,SF
6,14303,SF,composite
7,14304,SF,SF
8,14305,wAGN,LINERs
9,14306,SF,SF
10,14307,retired,unclassified
11,14308,SF,SF
12,14309,sAGN,composite
13,14310,SF,SF
14,14311,retired,unclassified
15,14312,wAGN,composite
16,14313,SF,SF
17,14314,SF,SF
18,14315,sAGN,composite
19,14316,passive,unclassified
20,14317,SF,SF
21,14318,SF,unclassified
22,14319,unclassified,unclassified
23,14320,SF,SF
24,14321,SF,unclassified
25,14322,SF,SF
26,14323,SF,unclassified
27,14324,SF,SF
28,14325,SF,SF
29,14326,SF,SF
30,14327,unclassified,unclassified
31,14328,unclassified,unclassified
32,14329,retired,unclassified
33,14330,SF,composite
34,14331,SF,composite
35,14332,unclassified,unclassified
36,14333,SF,unclassified
37,14334,SF,SF
38,14335,unclassified,LINERs
39,14336,sAGN,LINERs
40,14337,unclassified,unclassified
41,14338,SF,SF
42,14339,SF,SF
43,14340,SF,SF
44,14341,SF,SF
45,14342,SF,SF
46,14343,SF,SF
47,14344,unclassified,unclassified
48,14345,unclassified,unclassified
49,14346,unclassified,unclassified
50,14347,SF,SF
51,14348,SF,unclassified
52,14349,sAGN,composite
53,14350,wAGN,seyfert
54,14351,SF,unclassified
55,14352,SF,SF
56,14353,SF,SF
57,14354,unclassified,unclassified
58,14355,unclassified,unclassified
59,14356,SF,SF
60,14357,unclassified,unclassified
61,14358,SF,SF
62,14359,SF,SF
63,14360,unclassified,unclassified
64,14361,SF,SF
65,14362,unclassified,unclassified
66,14363,SF,SF
67,14364,sAGN,seyfert
68,14365,retired,composite
69,14366,SF,SF
70,14367,SF,unclassified
71,14368,unclassified,unclassified
72,14369,SF,SF
73,14370,retired,unclassified
74,14371,SF,SF
75,14372,SF,SF
76,14373,unclassified,unclassified
77,14374,unclassified,unclassified
78,14375,SF,seyfert
79,14376,retired,unclassified
80,14377,retired,unclassified
81,14378,SF,SF
82,14379,SF,SF
83,14380,SF,SF
84,14381,unclassified,unclassified
85,14382,SF,SF
86,14383,retired,unclassified
87,14384,sAGN,LINERs
88,14385,SF,SF
89,14386,SF,unclassified
90,14387,unclassified,unclassified
91,14388,unclassified,unclassified
92,14389,SF,unclassified
93,14390,SF,SF
94,14391,SF,SF
95,14392,SF,unclassified
96,14393,unclassified,unclassified
97,14394,SF,SF
98,14395,passive,unclassified
99,14396,SF,unclassified
100,14397,SF,composite
101,14398,SF,SF
102,14399,SF,SF
103,14400,retired,LINERs
104,14401,SF,SF
105,14402,wAGN,composite
106,14403,wAGN,composite
107,14404,unclassified,unclassified
108,14405,SF,SF
109,14406,retired,LINERs
110,14407,SF,SF
111,14408,SF,SF
112,14409,retired,seyfert
113,14410,unclassified,unclassified
114,14411,SF,SF
115,14412,SF,composite
116,14413,SF,SF
117,14414,SF,SF
118,14415,SF,SF
119,14416,SF,SF
120,14417,SF,SF
121,14418,SF,SF
122,14419,unclassified,unclassified
123,14420,SF,SF
124,14421,SF,SF
125,14422,SF,SF
126,14423,SF,unclassified
127,14424,SF,SF
128,14425,sAGN,seyfert
129,14426,unclassified,unclassified
130,14427,SF,SF
131,14428,sAGN,composite
132,14429,SF,composite
133,14430,SF,SF
134,14431,SF,SF
135,14432,retired,unclassified
136,14433,sAGN,composite
137,14434,SF,SF
138,14435,wAGN,unclassified
139,14436,SF,unclassified
140,14437,unclassified,unclassified
141,14438,sAGN,composite
142,14439,retired,unclassified
143,14440,unclassified,unclassified
144,14441,unclassified,unclassified
145,14442,SF,composite
146,14443,retired,LINERs
147,14444,retired,unclassified
148,14445,retired,unclassified
149,14446,SF,SF
150,14447,retired,LINERs
151,14448,SF,SF
152,14449,SF,SF
153,14450,SF,SF
154,14451,SF,SF
155,14452,SF,SF
156,14453,unclassified,unclassified
157,14454,SF,unclassified
158,14455,unclassified,unclassified
159,14456,sAGN,SF
160,14457,retired,composite
161,14458,SF,unclassified
162,14459,SF,SF
163,14460,sAGN,composite
164,14461,unclassified,unclassified
165,14462,retired,LINERs
166,14463,unclassified,unclassified
167,14464,SF,SF
168,14465,SF,SF
169,14466,sAGN,composite
170,14467,SF,composite
171,14468,retired,SF
172,14469,SF,SF
173,14470,SF,unclassified
174,14471,unclassified,unclassified
175,14472,SF,SF
176,14473,sAGN,composite
177,14474,unclassified,unclassified
178,14475,SF,unclassified
179,14476,unclassified,unclassified
180,14477,SF,SF
181,14478,SF,SF
182,14479,SF,SF
183,14480,sAGN,unclassified
184,14481,retired,unclassified
185,14482,retired,unclassified
186,14483,unclassified,unclassified
187,14484,retired,unclassified
188,14485,SF,SF
189,14486,SF,SF
190,14487,retired,unclassified
191,14488,SF,unclassified
192,14489,unclassified,unclassified
193,14490,wAGN,composite
194,14491,SF,SF
195,14492,SF,SF
196,14493,sAGN,SF
197,14494,SF,unclassified
198,14495,SF,SF
199,14496,SF,unclassified
200,14497,SF,SF
201,14498,retired,SF
202,14499,unclassified,unclassified
203,14500,sAGN,LINERs
204,14501,unclassified,unclassified
205,14502,SF,SF
206,14503,SF,SF
207,14504,wAGN,composite
208,14505,unclassified,unclassified
209,14506,SF,SF
210,14507,sAGN,composite
211,14508,SF,SF
212,14509,retired,unclassified
213,14510,SF,SF
214,14511,unclassified,unclassified
215,14512,unclassified,unclassified
216,14513,unclassified,unclassified
217,14514,retired,unclassified
218,14515,SF,SF
219,14516,SF,SF
220,14517,sAGN,unclassified
221,14518,retired,unclassified
222,14519,SF,SF
223,14520,unclassified,unclassified
224,14521,SF,SF
225,14522,SF,composite
226,14523,unclassified,unclassified
227,14524,unclassified,unclassified
228,14525,SF,SF
229,14526,retired,unclassified
230,14527,retired,LINERs
231,14528,SF,SF
232,14529,SF,SF
233,14530,SF,SF
234,14531,unclassified,unclassified
235,14532,SF,SF
236,14533,SF,SF
237,14534,SF,SF
238,14535,SF,SF
239,14536,unclassified,unclassified
240,14537,SF,SF
241,14538,SF,SF
242,14539,unclassified,unclassified
243,14540,SF,SF
244,14541,SF,SF
245,14542,SF,SF
246,14543,SF,SF
247,14544,SF,unclassified
248,14545,unclassified,unclassified
249,14546,SF,SF
250,14547,unclassified,unclassified
251,14548,retired,composite
252,14549,retired,composite
253,14550,SF,unclassified
254,14551,SF,SF
255,14552,SF,composite
256,14553,sAGN,LINERs
257,14554,unclassified,unclassified
258,14555,unclassified,unclassified
259,14557,SF,SF
260,14558,wAGN,unclassified
261,14559,SF,SF
262,14560,SF,SF
263,14561,SF,SF
264,14562,SF,SF
265,14563,retired,composite
266,14564,sAGN,seyfert
267,14565,SF,unclassified
268,14566,SF,unclassified
269,14567,SF,SF
270,14568,sAGN,unclassified
271,14569,sAGN,unclassified
272,14570,unclassified,unclassified
273,14571,SF,SF
274,14572,unclassified,unclassified
275,14573,unclassified,unclassified
276,14574,sAGN,seyfert
277,14575,SF,SF
278,14576,retired,LINERs
279,14577,retired,unclassified
280,14578,SF,SF
281,14579,SF,unclassified
282,14580,unclassified,unclassified
283,14581,sAGN,SF
284,14582,SF,SF
285,14583,unclassified,unclassified
286,14584,sAGN,seyfert
287,14585,unclassified,unclassified
288,14586,SF,unclassified
289,14587,SF,SF
290,14588,SF,SF
291,14589,SF,SF
292,14590,sAGN,composite
293,14591,SF,unclassified
294,14592,unclassified,unclassified
295,14593,SF,SF
296,14594,SF,SF
297,14595,SF,SF
298,14596,SF,SF
299,14597,SF,SF
300,14598,SF,composite
301,14599,SF,SF
302,14600,unclassified,unclassified
303,14601,unclassified,unclassified
304,14602,SF,unclassified
305,14603,unclassified,unclassified
306,14604,unclassified,unclassified
307,14605,unclassified,unclassified
308,14606,SF,SF
309,14607,SF,SF
310,14608,sAGN,composite
311,14609,sAGN,unclassified
312,14610,SF,composite
313,14611,SF,SF
314,14612,SF,unclassified
315,14613,SF,SF
316,14614,SF,unclassified
317,14615,SF,SF
318,14616,SF,SF
319,14617,retired,unclassified
320,14618,retired,unclassified
321,14619,retired,unclassified
322,14620,SF,SF
323,14621,unclassified,unclassified
324,14622,retired,unclassified
325,14623,SF,SF
326,14624,retired,unclassified
327,14625,unclassified,unclassified
328,14626,unclassified,unclassified
329,14627,SF,SF
330,14628,SF,SF
331,14629,SF,SF
332,14630,SF,SF
333,14631,SF,SF
334,14632,unclassified,unclassified
335,14633,unclassified,unclassified
336,14634,wAGN,composite
337,14635,unclassified,unclassified
338,14636,SF,unclassified
339,14637,retired,LINERs
340,14638,retired,composite
341,14639,SF,SF
342,14640,SF,SF
343,14641,SF,SF
344,14642,SF,SF
345,14643,retired,unclassified
346,14644,SF,SF
347,14645,SF,SF
348,14646,sAGN,composite
349,14647,SF,unclassified
350,14648,SF,SF
351,14649,SF,SF
352,14650,SF,unclassified
353,14651,retired,SF
354,14652,unclassified,unclassified
355,14653,SF,SF
356,14654,SF,SF
357,14655,SF,SF
358,14656,unclassified,unclassified
359,14657,unclassified,unclassified
360,14658,sAGN,composite
361,14659,SF,SF
362,14660,SF,SF
363,14661,SF,SF
364,14662,SF,unclassified
365,14663,SF,SF
366,14664,sAGN,unclassified
367,14665,unclassified,unclassified
368,14666,SF,SF
369,14667,SF,SF
370,14668,unclassified,unclassified
371,14669,SF,SF
372,14670,SF,SF
373,14671,SF,unclassified
374,14672,SF,SF
375,14673,retired,SF
376,14674,SF,unclassified
377,14675,retired,SF
378,14676,SF,SF
379,14677,SF,SF
380,14678,sAGN,composite
381,14679,SF,composite
382,14680,SF,SF
383,14681,SF,SF
384,14682,sAGN,composite
385,14683,unclassified,unclassified
386,14684,unclassified,unclassified
387,14685,SF,unclassified
388,14686,unclassified,unclassified
389,14687,SF,SF
390,14688,unclassified,unclassified
391,14689,sAGN,composite
392,14690,SF,SF
393,14691,sAGN,composite
394,14692,SF,SF
395,14693,sAGN,unclassified
396,14694,wAGN,composite
397,14695,SF,SF
398,14696,SF,SF
399,14697,unclassified,unclassified
400,14698,wAGN,composite
401,14699,SF,unclassified
402,14700,SF,unclassified
403,14701,retired,unclassified
404,14702,SF,SF
405,14703,SF,SF
406,14704,SF,SF
407,14705,SF,unclassified
408,14706,SF,composite
409,14707,SF,unclassified
410,14708,SF,unclassified
411,14709,SF,SF
412,14710,unclassified,unclassified
413,14711,SF,SF
414,14712,SF,SF
415,14713,SF,seyfert
416,14714,sAGN,composite
417,14715,retired,unclassified
418,14716,unclassified,unclassified
419,14717,retired,LINERs
420,14718,unclassified,unclassified
421,14719,sAGN,composite
422,14720,unclassified,unclassified
423,14721,unclassified,unclassified
424,14722,SF,SF
425,14723,SF,SF
426,14724,unclassified,unclassified
427,14725,SF,SF
428,14726,SF,SF
429,14727,wAGN,composite
430,14728,retired,unclassified
431,14729,SF,SF
432,14730,SF,unclassified
433,14731,SF,SF
434,14732,wAGN,composite
435,14733,retired,SF
436,14734,retired,unclassified
437,14735,SF,unclassified
438,14736,wAGN,unclassified
439,14737,unclassified,unclassified
440,14738,retired,LINERs
441,14739,retired,unclassified
442,14740,retired,composite
443,14741,unclassified,unclassified
444,14742,SF,SF
445,14743,wAGN,composite
446,14744,unclassified,unclassified
447,14745,unclassified,unclassified
448,14746,unclassified,unclassified
449,14747,retired,composite
450,14748,SF,composite
451,14749,SF,SF
452,14750,SF,SF
453,14751,SF,SF
454,14752,unclassified,unclassified
455,14753,SF,composite
456,14754,sAGN,composite
457,14755,SF,SF
458,14756,unclassified,unclassified
459,14757,unclassified,unclassified
460,14758,unclassified,unclassified
461,14759,unclassified,unclassified
462,14760,SF,SF
463,14761,unclassified,unclassified
464,14762,unclassified,unclassified
465,14763,sAGN,composite
466,14764,SF,composite
467,14765,SF,SF
468,14766,retired,SF
469,14767,SF,SF
470,14768,SF,unclassified
471,14769,SF,SF
472,14770,SF,SF
473,14771,SF,unclassified
474,14772,retired,LINERs
475,14773,SF,SF
476,14774,SF,composite
477,14775,unclassified,unclassified
478,14776,SF,unclassified
479,14777,unclassified,unclassified
480,14778,retired,composite
481,14779,SF,unclassified
482,14780,unclassified,unclassified
483,14781,sAGN,seyfert
484,14782,sAGN,composite
485,14783,wAGN,composite
486,14784,SF,SF
487,14785,retired,unclassified
488,14786,SF,unclassified
489,14787,retired,composite
490,14788,SF,unclassified
491,14789,retired,unclassified
492,14790,unclassified,unclassified
493,14791,retired,SF
494,14792,retired,unclassified
495,14793,SF,SF
496,14794,unclassified,unclassified
497,14795,SF,SF
498,14796,retired,unclassified
499,14797,SF,SF
500,14798,SF,SF
501,14799,SF,unclassified
502,14800,SF,SF
503,14801,sAGN,SF
504,14802,SF,SF
505,14803,retired,unclassified
506,14804,SF,unclassified
507,14805,unclassified,unclassified
508,14806,SF,SF
509,14807,SF,SF
510,14808,SF,SF
511,14809,unclassified,unclassified
512,14810,retired,unclassified
513,14811,SF,SF
514,14812,unclassified,unclassified
515,14813,SF,SF
516,14814,sAGN,composite
517,14815,SF,composite
518,14816,SF,SF
519,14817,unclassified,unclassified
520,14818,SF,seyfert
521,14819,SF,SF
522,14820,SF,SF
523,14821,SF,SF
524,14822,SF,SF
525,14823,SF,unclassified
526,14824,retired,SF
527,14825,retired,LINERs
528,14826,SF,SF
529,14827,retired,unclassified
530,14828,SF,SF
531,14829,SF,unclassified
532,14830,SF,SF
533,14831,SF,SF
534,14832,retired,unclassified
535,14833,SF,SF
536,14834,wAGN,seyfert
537,14835,SF,SF
538,14836,SF,SF
539,14837,SF,SF
540,14838,SF,unclassified
541,14839,retired,unclassified
542,14840,sAGN,composite
543,14841,retired,seyfert
544,14842,SF,SF
545,14843,SF,unclassified
546,14844,SF,unclassified
547,14845,passive,unclassified
548,14846,SF,unclassified
549,14847,SF,unclassified
550,14848,wAGN,composite
551,14849,sAGN,unclassified
552,14850,retired,unclassified
553,14851,unclassified,unclassified
554,14852,SF,unclassified
555,14853,unclassified,unclassified
556,14854,unclassified,unclassified
557,14855,sAGN,composite
558,14856,SF,seyfert
559,14857,retired,LINERs
560,14858,retired,composite
561,14859,SF,unclassified
562,14860,sAGN,unclassified
563,14861,sAGN,composite
564,14862,retired,unclassified
565,14863,unclassified,unclassified
566,14864,unclassified,unclassified
567,14865,SF,unclassified
568,14866,SF,unclassified
569,14867,SF,composite
570,14868,SF,SF
571,14869,retired,composite
572,14870,unclassified,unclassified
573,14871,unclassified,unclassified
574,14872,SF,SF
575,14873,SF,SF
576,14874,SF,SF
577,14875,unclassified,unclassified
578,14876,wAGN,composite
579,14877,unclassified,unclassified
580,14878,retired,SF
581,14879,SF,SF
582,14880,unclassified,unclassified
583,14881,SF,unclassified
584,14882,retired,unclassified
585,14883,unclassified,unclassified
586,14884,sAGN,composite
587,14885,unclassified,unclassified
588,14886,unclassified,unclassified
589,14887,unclassified,unclassified
590,14888,retired,composite
591,14889,unclassified,unclassified
592,14890,unclassified,unclassified
593,14891,SF,SF
594,14892,SF,unclassified
595,14893,SF,SF
596,14894,wAGN,seyfert
597,14895,retired,LINERs
598,14896,SF,SF
599,14897,retired,unclassified
600,14898,SF,SF
601,14899,retired,composite
602,14900,retired,unclassified
603,14901,SF,SF
604,14902,SF,SF
605,14903,SF,SF
606,14904,retired,seyfert
607,14905,SF,composite
608,14906,retired,unclassified
609,14907,sAGN,unclassified
610,14908,sAGN,composite
611,14909,SF,unclassified
612,14910,SF,SF
613,14911,unclassified,unclassified
614,14912,retired,seyfert
615,14913,unclassified,unclassified
616,14914,SF,unclassified
617,14915,SF,SF
618,14916,SF,SF
619,14917,retired,unclassified
620,14918,retired,unclassified
621,14919,SF,SF
622,14920,retired,composite
623,14921,SF,SF
624,14922,SF,SF
625,14923,sAGN,SF
626,14924,SF,SF
627,14925,SF,SF
628,14926,wAGN,unclassified
629,14927,SF,SF
630,14928,sAGN,seyfert
631,14929,SF,SF
632,14930,SF,SF
633,14931,SF,SF
634,14932,unclassified,unclassified
635,14933,SF,unclassified
636,14934,SF,SF
637,14935,SF,SF
638,14936,retired,unclassified
639,14937,sAGN,composite
640,14938,unclassified,unclassified
641,14939,SF,SF
642,14940,SF,unclassified
643,14941,SF,SF
644,14942,SF,SF
645,14943,sAGN,composite
646,14944,SF,SF
647,14945,retired,composite
648,14946,SF,composite
649,14947,sAGN,seyfert
650,14948,unclassified,unclassified
651,14949,sAGN,composite
652,14950,unclassified,unclassified
653,14951,SF,SF
654,14952,retired,SF
655,14953,wAGN,unclassified
656,14954,SF,unclassified
657,14955,SF,composite
658,14956,SF,seyfert
659,14957,SF,SF
660,14958,SF,SF
661,14959,SF,SF
662,14960,unclassified,unclassified
663,14961,unclassified,unclassified
664,14962,SF,composite
665,14963,SF,SF
666,14964,unclassified,unclassified
667,14965,SF,SF
668,14966,SF,SF
669,14967,sAGN,composite
670,14968,retired,unclassified
671,14969,retired,LINERs
672,14970,SF,SF
673,14971,sAGN,unclassified
674,14972,retired,LINERs
675,14973,SF,composite
676,14974,retired,unclassified
677,14975,unclassified,unclassified
678,14976,retired,unclassified
679,14977,unclassified,unclassified
680,14978,retired,LINERs
681,14979,SF,SF
682,14980,SF,SF
683,14981,SF,SF
684,14982,retired,LINERs
685,14983,unclassified,unclassified
686,14984,SF,unclassified
687,14985,SF,SF
688,14986,retired,SF
689,14987,SF,unclassified
690,14988,SF,unclassified
691,14989,sAGN,unclassified
692,14990,unclassified,unclassified
693,14991,retired,unclassified
694,14992,SF,composite
695,14993,SF,unclassified
696,14994,SF,SF
697,14995,SF,SF
698,14996,SF,SF
699,14997,SF,SF
700,14998,sAGN,unclassified
701,14999,unclassified,unclassified
702,15000,retired,unclassified
703,15001,retired,LINERs
704,15002,unclassified,unclassified
705,15003,unclassified,unclassified
706,15004,unclassified,unclassified
707,15005,SF,SF
708,15006,unclassified,unclassified
709,15007,SF,unclassified
710,15008,unclassified,unclassified
711,15009,unclassified,unclassified
712,15010,SF,SF
713,15011,unclassified,unclassified
714,15012,SF,SF
715,15013,SF,unclassified
716,15014,unclassified,unclassified
717,15015,retired,seyfert
718,15016,SF,SF
719,15017,unclassified,unclassified
720,15018,SF,SF
721,15019,SF,composite
722,15020,SF,SF
723,15021,SF,SF
724,15022,SF,SF
725,15023,SF,unclassified
726,15024,retired,composite
727,15025,SF,SF
728,15026,SF,SF
729,15027,SF,SF
730,15028,retired,unclassified
731,15029,SF,SF
732,15030,SF,SF
733,15031,wAGN,seyfert
734,15032,sAGN,composite
735,15033,SF,SF
736,15034,SF,unclassified
737,15035,unclassified,unclassified
738,15036,SF,unclassified
739,15037,retired,unclassified
740,15038,SF,composite
741,15039,SF,SF
742,15040,sAGN,unclassified
743,15041,SF,unclassified
744,15042,unclassified,unclassified
745,15043,unclassified,unclassified
746,15044,unclassified,unclassified
747,15045,unclassified,unclassified
748,15046,unclassified,unclassified
749,15047,SF,SF
750,15048,SF,SF
751,15049,SF,SF
752,15050,SF,unclassified
753,15051,SF,unclassified
754,15052,sAGN,seyfert
755,15053,SF,composite
756,15054,SF,SF
757,15055,SF,SF
758,15056,SF,SF
759,15057,wAGN,unclassified
760,15058,SF,SF
761,15059,unclassified,unclassified
762,15060,SF,composite
763,15061,wAGN,composite
764,15062,SF,unclassified
765,15063,SF,SF
766,15064,SF,SF
767,15065,wAGN,composite
768,15066,SF,SF
769,15067,sAGN,composite
770,15068,sAGN,composite
771,15069,retired,composite
772,15070,unclassified,unclassified
773,15071,sAGN,unclassified
774,15072,SF,SF
775,15073,SF,SF
776,15074,unclassified,unclassified
777,15075,SF,SF
778,15076,retired,unclassified
779,15077,retired,unclassified
780,15078,SF,SF
781,15079,retired,unclassified
782,15080,sAGN,SF
783,15081,retired,unclassified
784,15082,sAGN,SF
785,15083,SF,SF
786,15084,unclassified,unclassified
787,15085,SF,SF
788,15086,SF,unclassified
789,15087,SF,SF
790,15088,SF,SF
791,15089,SF,SF
792,15090,retired,composite
793,15091,retired,composite
794,15092,SF,SF
795,15093,SF,SF
796,15094,retired,unclassified
797,15095,sAGN,composite
798,15096,SF,unclassified
799,15097,SF,SF
800,15098,retired,unclassified
801,15099,SF,composite
802,15100,SF,composite
803,15101,unclassified,unclassified
804,15102,sAGN,unclassified
805,15103,SF,SF
806,15104,sAGN,composite
807,15105,sAGN,composite
808,15106,wAGN,SF
809,15107,SF,unclassified
810,15108,sAGN,composite
811,15109,sAGN,unclassified
812,15110,SF,SF
813,15111,SF,SF
814,15112,retired,unclassified
815,15113,SF,SF
816,15114,wAGN,unclassified
817,15115,SF,unclassified
818,15116,SF,SF
819,15117,sAGN,composite
820,15118,SF,SF
821,15119,sAGN,SF
822,15120,unclassified,unclassified
823,15121,sAGN,seyfert
824,15122,retired,LINERs
825,15123,SF,SF
826,15124,sAGN,unclassified
827,15125,SF,seyfert
828,15126,sAGN,unclassified
829,15127,SF,SF
830,15128,SF,SF
831,15129,SF,composite
832,15130,SF,SF
833,15131,SF,SF
834,15132,SF,SF
835,15133,SF,unclassified
836,15134,sAGN,composite
837,15135,SF,SF
838,15136,unclassified,unclassified
839,15137,SF,composite
840,15138,retired,composite
841,15139,SF,SF
842,15140,sAGN,composite
843,15141,SF,unclassified
844,15142,retired,unclassified
845,15143,SF,SF
846,15144,SF,SF
847,15145,SF,SF
848,15146,SF,SF
849,15147,SF,unclassified
850,15148,SF,SF
851,15149,SF,unclassified
852,15150,SF,SF
853,15151,unclassified,unclassified
854,15152,SF,unclassified
855,15153,SF,SF
856,15154,SF,SF
857,15155,sAGN,composite
858,15156,retired,unclassified
859,15157,SF,unclassified
860,15158,SF,SF
861,15159,SF,composite
862,15160,SF,SF
863,15161,wAGN,unclassified
864,15162,SF,unclassified
865,15163,retired,unclassified
866,15164,sAGN,composite
867,15165,SF,SF
868,15166,sAGN,composite
869,15167,unclassified,unclassified
870,15168,SF,unclassified
871,15169,wAGN,unclassified
872,15170,sAGN,unclassified
873,15171,sAGN,composite
874,15172,unclassified,unclassified
875,15173,retired,unclassified
876,15174,retired,composite
877,15175,SF,unclassified
878,15176,SF,SF
879,15177,sAGN,composite
880,15178,SF,unclassified
881,15179,wAGN,composite
882,15180,sAGN,composite
883,15181,SF,SF
884,15182,sAGN,composite
885,15183,SF,unclassified
886,15184,retired,unclassified
887,15185,SF,unclassified
888,15186,retired,LINERs
889,15187,SF,SF
890,15188,SF,SF
891,15189,SF,SF
892,15190,SF,seyfert
893,15191,unclassified,unclassified
894,15192,sAGN,composite
895,15193,wAGN,composite
896,15194,unclassified,unclassified
897,15195,retired,unclassified
898,15196,sAGN,seyfert
899,15197,retired,unclassified
900,15198,sAGN,composite
901,15199,SF,unclassified
902,15200,SF,unclassified
903,15201,retired,seyfert
904,15202,SF,SF
905,15203,SF,SF
906,15204,SF,SF
907,15205,retired,unclassified
908,15206,SF,composite
909,15207,SF,SF
910,15208,SF,SF
911,15209,unclassified,unclassified
912,15210,wAGN,unclassified
913,15211,SF,SF
914,15212,retired,unclassified
915,15213,SF,SF
916,15214,SF,SF
917,15215,SF,SF
918,15216,unclassified,unclassified
919,15217,SF,SF
920,15218,unclassified,unclassified
921,15219,wAGN,LINERs
922,15220,sAGN,composite
923,15221,SF,unclassified
924,15222,SF,SF
925,15223,sAGN,SF
926,15224,sAGN,composite
927,15225,sAGN,unclassified
928,15226,SF,composite
929,15227,SF,SF
930,15228,unclassified,unclassified
931,15229,sAGN,SF
932,15230,SF,SF
933,15231,SF,SF
934,15232,retired,LINERs
935,15233,sAGN,composite
936,15234,sAGN,unclassified
937,15235,retired,composite
938,15236,sAGN,composite
939,15237,passive,unclassified
940,15238,retired,unclassified
941,15239,SF,SF
942,15240,SF,SF
943,15241,passive,unclassified
944,15242,SF,composite
945,15243,sAGN,composite
946,15244,retired,unclassified
947,15245,retired,LINERs
948,15246,SF,unclassified
949,15247,SF,SF
950,15248,retired,unclassified
951,15249,retired,LINERs
952,15250,SF,SF
953,15251,unclassified,unclassified
954,15252,unclassified,unclassified
955,15253,sAGN,seyfert
956,15254,sAGN,composite
957,15255,wAGN,unclassified
958,15256,retired,unclassified
959,15257,unclassified,unclassified
960,15258,SF,SF
961,15259,retired,unclassified
962,15260,SF,unclassified
963,15261,SF,seyfert
964,15262,unclassified,unclassified
965,15263,SF,seyfert
966,15264,unclassified,unclassified
967,15265,SF,SF
968,15266,SF,unclassified
969,15267,SF,SF
970,15268,unclassified,unclassified
971,15269,unclassified,unclassified
972,15270,unclassified,unclassified
973,15271,unclassified,unclassified
974,15272,SF,SF
975,15273,SF,SF
976,15274,SF,SF
977,15275,unclassified,unclassified
978,15276,SF,SF
979,15277,sAGN,composite
980,15278,SF,unclassified
981,15279,SF,unclassified
982,15280,SF,seyfert
983,15281,SF,SF
984,15282,unclassified,unclassified
985,15283,SF,SF
986,15284,SF,SF
987,15285,SF,unclassified
988,15286,retired,unclassified
989,15287,unclassified,unclassified
990,15288,SF,unclassified
991,15289,SF,SF
992,15290,sAGN,composite
993,15291,unclassified,unclassified
994,15292,SF,composite
995,15293,SF,unclassified
996,15294,SF,unclassified
997,15295,wAGN,unclassified
998,15296,unclassified,unclassified
999,15297,SF,composite
1000,15298,SF,SF
1001,15299,SF,SF
1002,15300,unclassified,unclassified
1003,15301,SF,SF
1004,15302,SF,unclassified
1005,15303,wAGN,seyfert
1006,15304,sAGN,seyfert
1007,15305,wAGN,composite
1008,15306,SF,composite
1009,15307,SF,SF
1010,15308,SF,SF
1011,15309,passive,unclassified
1012,15310,SF,composite
1013,15311,SF,SF
1014,15312,sAGN,composite
1015,15313,SF,SF
1016,15314,SF,SF
1017,15315,SF,SF
1018,15316,retired,LINERs
1019,15317,retired,unclassified
1020,15318,sAGN,composite
1021,15319,SF,SF
1022,15320,unclassified,unclassified
1023,15321,sAGN,unclassified
1024,15322,SF,SF
1025,15323,SF,SF
1026,15324,SF,SF
1027,15325,retired,unclassified
1028,15326,sAGN,composite
1029,15327,SF,SF
1030,15328,SF,SF
1031,15329,unclassified,unclassified
1032,15330,unclassified,unclassified
1033,15331,SF,SF
1034,15332,unclassified,unclassified
1035,15333,retired,unclassified
1036,15334,SF,unclassified
1037,15335,SF,composite
1038,15336,unclassified,unclassified
1039,15337,retired,unclassified
1040,15338,SF,SF
1041,15339,SF,SF
1042,15340,SF,unclassified
1043,15341,SF,SF
1044,15342,unclassified,unclassified
1045,15343,retired,unclassified
1046,15344,retired,composite
1047,15345,retired,LINERs
1048,15346,SF,SF
1049,15347,unclassified,unclassified
1050,15348,sAGN,composite
1051,15349,SF,unclassified
1052,15350,unclassified,unclassified
1053,15351,sAGN,composite
1054,15352,SF,unclassified
1055,15353,sAGN,composite
1056,15354,sAGN,seyfert
1057,15355,SF,SF
1058,15356,retired,unclassified
1059,15357,wAGN,composite
1060,15358,SF,SF
1061,15359,wAGN,unclassified
1062,15360,unclassified,unclassified
1063,15361,SF,composite
1064,15362,unclassified,unclassified
1065,15363,retired,seyfert
1066,15364,retired,unclassified
1067,15365,retired,unclassified
1068,15366,unclassified,unclassified
1069,15367,unclassified,unclassified
1070,15368,SF,SF
1071,15369,wAGN,composite
1072,15370,SF,SF
1073,15371,retired,LINERs
1074,15372,SF,SF
1075,15373,retired,LINERs
1076,15374,SF,unclassified
1077,15375,sAGN,composite
1078,15376,SF,unclassified
1079,15377,retired,LINERs
1080,15378,SF,composite
1081,15379,unclassified,unclassified
1082,15380,SF,SF
1083,15381,sAGN,composite
1084,15382,unclassified,unclassified
1085,15383,SF,SF
1086,15384,SF,SF
1087,15385,sAGN,SF
1088,15386,wAGN,LINERs
1089,15387,unclassified,unclassified
1090,15388,retired,unclassified
1091,15389,sAGN,unclassified
1092,15390,sAGN,composite
1093,15391,wAGN,unclassified
1094,15392,sAGN,composite
1095,15393,retired,unclassified
1096,15394,sAGN,unclassified
1097,15395,SF,SF
1098,15396,sAGN,composite
