,CATAID,WHAN classification,BPT classification
7126,100358,retired,LINERs
7127,100359,SF,SF
7128,100360,SF,SF
7129,100361,unclassified,unclassified
7130,100362,SF,unclassified
7131,100363,SF,SF
7132,100364,sAGN,SF
7133,100365,SF,composite
7134,100366,SF,SF
7135,100367,SF,SF
7136,100368,SF,SF
7137,100369,SF,SF
7138,100370,SF,SF
7139,100371,SF,unclassified
7140,100372,SF,unclassified
7141,100373,SF,unclassified
7142,100374,SF,unclassified
7143,100375,SF,SF
7144,100376,SF,SF
7145,100377,SF,SF
7146,100378,unclassified,unclassified
7147,100379,wAGN,composite
7148,100380,SF,SF
7149,100381,unclassified,unclassified
7150,100382,unclassified,unclassified
7151,100383,unclassified,unclassified
7152,100384,retired,unclassified
7153,100385,SF,SF
7154,100386,SF,SF
7155,100387,sAGN,composite
7156,100388,unclassified,unclassified
7157,100389,SF,SF
7158,100390,SF,SF
7159,100391,SF,SF
7160,100392,sAGN,composite
7161,100393,SF,seyfert
7162,100394,sAGN,unclassified
7163,100395,retired,unclassified
7164,100396,SF,SF
7165,100397,SF,composite
7166,100398,SF,SF
7167,100399,unclassified,unclassified
7168,100400,retired,unclassified
7169,100401,retired,SF
7170,100402,unclassified,unclassified
7171,100403,SF,unclassified
7172,100404,sAGN,composite
7173,100405,sAGN,seyfert
7174,100406,SF,SF
7175,100407,sAGN,composite
7176,100408,SF,SF
7177,100409,SF,SF
7178,100410,SF,unclassified
7179,100411,SF,SF
7180,100412,SF,SF
7181,100413,sAGN,seyfert
7182,100414,SF,SF
7183,100415,SF,SF
7184,100416,retired,unclassified
7185,100417,unclassified,unclassified
7186,100418,SF,SF
7187,100419,retired,unclassified
7188,100420,retired,composite
7189,100421,SF,SF
7190,100422,SF,unclassified
7191,100423,SF,unclassified
7192,100424,SF,SF
7193,100425,SF,unclassified
7194,100426,SF,SF
7195,100427,retired,composite
7196,100428,wAGN,LINERs
7197,100429,retired,unclassified
7198,100430,retired,unclassified
7199,100431,unclassified,unclassified
7200,100432,retired,unclassified
7201,100433,SF,SF
7202,100434,unclassified,unclassified
7203,100435,unclassified,unclassified
7204,100436,unclassified,unclassified
7205,100437,SF,SF
7206,100438,SF,SF
7207,100439,SF,unclassified
7208,100440,unclassified,unclassified
7209,100441,unclassified,unclassified
7210,100442,retired,composite
